name,cik,start_date,business_city,business_stateOrCountry,business_stateOrCountryDescription,business_street1,business_street2,business_zipCode,category,description,ein,entityType,exchanges,fiscalYearEnd,flags,insiderTransactionForIssuerExists,insiderTransactionForOwnerExists,mailing_city,mailing_stateOrCountry,mailing_stateOrCountryDescription,mailing_street1,mailing_street2,mailing_zipCode,ownerOrg,phone,sic,sicDescription,stateOfIncorporation,stateOfIncorporationDescription,tickers
"GAMCO Global Gold, Natural Resources & Income Trust",0001313510,2005-01-12,RYE,NY,NY,ONE CORPORATE CENTER,,10580-1422,,,000000000,other,"['NYSE', 'NYSE']",1231,,1,0,RYE,NY,NY,ONE CORPORATE CENTER,,10580-1422,,800.422.3554,,,DE,DE,"['GGN', 'GGN-PB']"
"BIOFORCE NANOSCIENCES HOLDINGS, INC.",0001310488,2004-12-14,VIRGINIA BEACH,VA,VA,2020 GENERAL BOOTH BLVD,SUITE 230,23454,Non-accelerated filer<br>Smaller reporting company,,852138858,operating,['OTC'],1231,,1,0,VIRGINIA BEACH,VA,VA,2020 GENERAL BOOTH BLVD,SUITE 230,23454,08 Industrial Applications and Services,757-306-6090,3826,Laboratory Analytical Instruments,,,['BFNH']
"Pioneer Floating Rate Fund, Inc.",0001305767,2004-10-13,BOSTON,MA,MA,60 STATE STREET,5TH FLOOR,02109,,,582683903,other,['NYSE'],1130,,1,1,BOSTON,MA,MA,60 STATE STREET,5TH FLOOR,02109,,617-742-7825,,,MD,MD,['PHD']
"Franklin Mining, Inc.",0001304077,2005-08-24,BOERNE,TX,TX,215 BANDERA RD,,78006,,,743142864,other,['OTC'],1231,,0,0,BOERNE,TX,TX,215 BANDERA RD,,78006,01 Energy & Transportation,(830) 331-0031,1040,Gold and Silver Ores,NV,NV,['FMNJ']
BankFinancial CORP,0001303942,2004-09-23,BURR RIDGE,IL,IL,60 NORTH FRONTAGE ROAD,,60527,Non-accelerated filer<br>Smaller reporting company,,000000000,operating,['Nasdaq'],1231,,1,0,BURR RIDGE,IL,IL,60 NORTH FRONTAGE ROAD,,60527,02 Finance,(800) 894-6900,6035,"Savings Institution, Federally Chartered",,,['BFIN']
"DH ENCHANTMENT, INC.",0001300781,2004-08-16,KOWLOON,K3,Hong Kong,"3/F, YEUNG YIU CHUNG (NO.6)","19 CHEUNG SHUN STREET, LAI CHI KOK",00000,Non-accelerated filer<br>Smaller reporting company,,201415044,operating,['OTC'],0331,,1,0,KOWLOON,K3,Hong Kong,"3/F, YEUNG YIU CHUNG (NO.6)","19 CHEUNG SHUN STREET, LAI CHI KOK",00000,07 Trade & Services,852-34263795,5122,"Wholesale-Drugs, Proprietaries & Druggists' Sundries",NV,NV,['ENMI']
Eaton Vance Enhanced Equity Income Fund,0001300391,2004-08-12,BOSTON,MA,MA,ONE POST OFFICE SQUARE,,02109,,,000000000,other,['NYSE'],0930,,1,0,BOSTON,MA,MA,ONE POST OFFICE SQUARE,,02109,,617-482-8260,,,,,['EOI']
Cadence Bank,0001299939,2004-08-11,TUPELO,MS,MS,ONE MISSISSIPPI PLAZA,201 SOUTH SPRING STREET,38804,,,640117230,other,"['NYSE', 'NYSE']",1231,,0,0,TUPELO,MS,MS,ONE MISSISSIPPI PLAZA,201 SOUTH SPRING STREET,38804,,6626802000,,,MS,MS,"['CADE', 'CADE-PA']"
"Comstock Holding Companies, Inc.",0001299969,2004-08-13,RESTON,VA,VA,"1900 RESTON METRO PLAZA, 10TH FLOOR",,20190,Non-accelerated filer<br>Smaller reporting company,,201164345,operating,['Nasdaq'],1231,,1,0,RESTON,VA,VA,"1900 RESTON METRO PLAZA, 10TH FLOOR",,20190,05 Real Estate & Construction,703-230-1985,6500,Real Estate,DE,DE,['CHCI']
"Axos Financial, Inc.",0001299709,2004-12-16,LAS VEGAS,NV,NV,9205 WEST RUSSELL ROAD,SUITE #400,89148,Large accelerated filer,,330867444,operating,['NYSE'],0630,,1,1,LAS VEGAS,NV,NV,9205 WEST RUSSELL ROAD,SUITE #400,89148,02 Finance,(858) 649-2218,6035,"Savings Institution, Federally Chartered",DE,DE,['AX']
"PACIFIC BIOSCIENCES OF CALIFORNIA, INC.",0001299130,2004-07-28,MENLO PARK,CA,CA,1305 O'BRIEN DRIVE,,94025,Accelerated filer,,161590339,operating,['Nasdaq'],1231,,1,0,MENLO PARK,CA,CA,1305 O'BRIEN DRIVE,,94025,08 Industrial Applications and Services,650-521-8000,3826,Laboratory Analytical Instruments,DE,DE,['PACB']
DiamondRock Hospitality Co,0001298946,2004-07-27,BETHESDA,MD,MD,2 BETHESDA METRO CENTER,SUITE 1400,20814,Large accelerated filer,,000000000,operating,"['NYSE', 'NYSE']",1231,,1,1,BETHESDA,MD,MD,2 BETHESDA METRO CENTER,SUITE 1400,20814,05 Real Estate & Construction,240-744-1150,6798,Real Estate Investment Trusts,,,"['DRH', 'DRH-PA']"
CubeSmart,0001298675,2004-08-02,MALVERN,PA,PA,5 OLD LANCASTER ROAD,,19355,Large accelerated filer,,201024732,operating,['NYSE'],1231,,1,0,MALVERN,PA,PA,5 OLD LANCASTER ROAD,,19355,05 Real Estate & Construction,610-535-5700,6798,Real Estate Investment Trusts,MD,MD,['CUBE']
Nuveen S&P 500 BuyWrite Income Fund,0001298699,2004-08-20,CHICAGO,IL,IL,333 WEST WACKER DRIVE,,60606,,,000000000,other,['NYSE'],1231,,1,0,CHICAGO,IL,IL,333 WEST WACKER DRIVE,,60606,,312-917-8146,,,MA,MA,['BXMX']
"PARKS AMERICA, INC",0001297937,2004-07-20,PINE MOUNTAIN,GA,GA,1300 OAK GROVE RD,,31822,Non-accelerated filer<br>Smaller reporting company,,910626756,operating,['OTC'],0928,,1,0,PINE MOUNTAIN,GA,GA,1300 OAK GROVE RD,,31822,07 Trade & Services,706-663-8744,7990,Services-Miscellaneous Amusement & Recreation,NV,NV,['PRKA']
"ExlService Holdings, Inc.",0001297989,2004-12-06,NEW YORK,NY,NY,320 PARK AVENUE,29TH FLOOR,10022,Large accelerated filer,,820572194,operating,['Nasdaq'],1231,,1,1,NEW YORK,NY,NY,320 PARK AVENUE,29TH FLOOR,10022,07 Trade & Services,(212) 277-7100,7389,"Services-Business Services, NEC",DE,DE,['EXLS']
"DIGITAL REALTY TRUST, INC.",0001297996,2004-08-02,DALLAS,TX,TX,2323 BRYAN STREET,SUITE 1800,75201,Large accelerated filer,,260081711,operating,"['NYSE', 'NYSE', 'NYSE', 'NYSE']",1231,,1,0,DALLAS,TX,TX,2323 BRYAN STREET,SUITE 1800,75201,05 Real Estate & Construction,(214) 231-1350,6798,Real Estate Investment Trusts,MD,MD,"['DLR', 'DLR-PK', 'DLR-PJ', 'DLR-PL']"
"Amphastar Pharmaceuticals, Inc.",0001297184,2005-02-11,RANCHO CUCAMONGA,CA,CA,11570 SIXTH STREET,,91730,Large accelerated filer,,330702205,operating,['Nasdaq'],1231,,1,0,RANCHO CUCAMONGA,CA,CA,11570 SIXTH STREET,,91730,03 Life Sciences,909-980-9484,2834,Pharmaceutical Preparations,,,['AMPH']
Kentucky First Federal Bancorp,0001297341,2004-07-16,HAZARD,KY,KY,479 MAIN STREET,,41702,Non-accelerated filer<br>Smaller reporting company,,611484858,operating,['Nasdaq'],0630,,1,0,HAZARD,KY,KY,479 MAIN STREET,,41702,02 Finance,(606) 436-3860,6035,"Savings Institution, Federally Chartered",,,['KFFB']
"ORMAT TECHNOLOGIES, INC.",0001296445,2004-07-21,RENO,NV,NV,6884 SIERRA CENTER PARKWAY,,89511,Large accelerated filer,,880326081,operating,['NYSE'],1231,,1,0,RENO,NV,NV,6884 SIERRA CENTER PARKWAY,,89511,01 Energy & Transportation,775-356-9029,4911,Electric Services,DE,DE,['ORA']
The9 LTD,0001296774,2004-11-26,SHANGHAI,F4,China,"17 FLOOR, NO. 130 WU SONG ROAD,",HONG KOU DISTRICT,200080,Non-accelerated filer,,000000000,other,['Nasdaq'],1231,,0,0,SHANGHAI,F4,China,"17 FLOOR, NO. 130 WU SONG ROAD,",HONG KOU DISTRICT,200080,09 Crypto Assets,(86) 21 - 5172 9999,6199,Finance Services,E9,Cayman Islands,['NCTY']
TOP SHIPS INC.,0001296484,2004-07-07,"151 24, MAROUSSI",J3,Greece,"1, VASSILISSIS SOFIAS STR. & MEG.",ALEXANDROU STR.,00000,Non-accelerated filer,,000000000,other,['NYSE'],1231,,1,0,"151 24, MAROUSSI",J3,Greece,"1, VASSILISSIS SOFIAS STR. & MEG.",ALEXANDROU STR.,00000,01 Energy & Transportation,011-30-210-81-28-107,4412,Deep Sea Foreign Transportation of  Freight,1T,Marshall Islands,['TOPS']
PIMCO Income Strategy Fund II,0001296250,2004-07-06,NEW YORK,NY,NY,1633 BROADWAY,,10019,,,201619298,other,['NYSE'],0630,,1,0,NEW YORK,NY,NY,1633 BROADWAY,,10019,,212 739-4000,,,,,['PFN']
Prestige Consumer Healthcare Inc.,0001295947,2004-07-28,TARRYTOWN,NY,NY,660 WHITE PLAINS RD.,,10591,Large accelerated filer,,201297589,operating,['NYSE'],0331,,1,0,TARRYTOWN,NY,NY,660 WHITE PLAINS RD.,,10591,03 Life Sciences,(914) 524-6800,2834,Pharmaceutical Preparations,,,['PBH']
"Bancorp, Inc.",0001295401,2004-07-15,WILMINGTON,DE,DE,409 SILVERSIDE ROAD,,19809,Large accelerated filer,,233016517,operating,['Nasdaq'],1231,,1,0,WILMINGTON,DE,DE,409 SILVERSIDE ROAD,,19809,02 Finance,302-385-5000,6021,National Commercial Banks,DE,DE,['TBBK']
"MDWerks, Inc.",0001295514,2004-08-12,GREEN COVE SPRINGS,FL,FL,"411 WALNUT STREET,",SUITE 20125,32043,Non-accelerated filer<br>Smaller reporting company,,331095411,operating,['OTC'],1231,,1,0,GREEN COVE SPRINGS,FL,FL,"411 WALNUT STREET,",SUITE 20125,32043,04 Manufacturing,(252) 501-0019,2080,Beverages,DE,DE,['MDWK']
"Sunstone Hotel Investors, Inc.",0001295810,2004-07-02,ALISO VIEJO,CA,CA,15 ENTERPRISE,SUITE 200,92656,Large accelerated filer,,201296886,operating,"['NYSE', 'NYSE', 'NYSE']",1231,,1,1,ALISO VIEJO,CA,CA,15 ENTERPRISE,SUITE 200,92656,05 Real Estate & Construction,(949) 330-4000,7011,Hotels & Motels,MD,MD,"['SHO', 'SHO-PH', 'SHO-PI']"
PPLUS Trust Series GSC-2,0001294808,2004-06-21,NEW YORK,NY,NY,WORLD FINANCIAL CENTER,,10281,,,000000000,operating,['NYSE'],1231,,0,0,,,,,,,Office of Structured Finance,2124491000,6189,Asset-Backed Securities,DE,DE,['PYT']
"Rakuten Group, Inc.",0001294591,2004-06-30,"SETAGAYA-KU, TOKYO",M0,Japan,1-14-1 TAMAGAWA,,158-0094,,,000000000,other,"['OTC', 'OTC']",1231,,0,1,"SETAGAYA-KU, TOKYO",M0,Japan,1-14-1 TAMAGAWA,,158-0094,International Corp Fin,81-50-5581-6910,,,,,"['RKUNY', 'RKUNF']"
"bluebird bio, Inc.",0001293971,2004-06-14,SOMERVILLE,MA,MA,455 GRAND UNION BOULEVARD,,02145,Non-accelerated filer<br>Smaller reporting company,,000000000,operating,['Nasdaq'],1231,,1,1,SOMERVILLE,MA,MA,455 GRAND UNION BOULEVARD,,02145,03 Life Sciences,339-499-9300,2836,"Biological Products, (No Diagnostic Substances)",DE,DE,['BLUE']
Inogen Inc,0001294133,2004-06-16,GOLETA,CA,CA,859 WARD DRIVE,,93111,Accelerated filer<br>Smaller reporting company,,000000000,operating,['Nasdaq'],1231,,1,0,GOLETA,CA,CA,859 WARD DRIVE,,93111,08 Industrial Applications and Services,805-562-0500,3842,"Orthopedic, Prosthetic & Surgical Appliances & Supplies",DE,DE,['INGN']
"Kayne Anderson Energy Infrastructure Fund, Inc.",0001293613,2004-06-15,HOUSTON,TX,TX,811 MAIN STREET,14TH FLOOR,77002,,,000000000,other,['NYSE'],1130,,1,0,HOUSTON,TX,TX,811 MAIN STREET,14TH FLOOR,77002,,713-425-0242,,,MD,MD,['KYN']
OPGEN INC,0001293818,2004-06-14,ROCKVILLE,MD,MD,9717 KEY WEST AVENUE,SUITE 100,20850,Non-accelerated filer<br>Smaller reporting company,,061614015,operating,['OTC'],1231,,1,0,ROCKVILLE,MD,MD,9717 KEY WEST AVENUE,SUITE 100,20850,08 Industrial Applications and Services,301-869-9683,8071,Services-Medical Laboratories,DE,DE,['OPGN']
VERMILION ENERGY INC.,0001293135,2004-07-02,CALGARY,A0,"Alberta, Canada","3500, 520 - 3RD AVENUE S.W.",,T2P 0R3,,,000000000,other,['NYSE'],1231,,0,0,CALGARY,A0,"Alberta, Canada","3500, 520 - 3RD AVENUE S.W.",,T2P 0R3,01 Energy & Transportation,403-269-4884,1311,Crude Petroleum & Natural Gas,A0,"Alberta, Canada",['VET']
"Synbio International, Inc.",0001292490,2004-06-01,SHERIDAN,WY,WY,30 N GOULD ST,STE 5835,89014,,,043588066,other,['OTC'],1231,,0,0,SHERIDAN,WY,WY,30 N GOULD ST,STE 5835,89014,,646-359-4854,,,FL,FL,['SYIN']
Gol Intelligent Airlines Inc.,0001291733,2004-06-01,SAO PAULO,D5,Brazil,PRACA COMANDANTE LINNEU GOMES,"PORTARIA 3, PREDIO 24 JARDIM AEROPORTO",04630-000,Non-accelerated filer,,000000000,other,['OTC'],1231,,0,0,SAO PAULO,D5,Brazil,PRACA COMANDANTE LINNEU GOMES,"PORTARIA 3, PREDIO 24 JARDIM AEROPORTO",04630-000,01 Energy & Transportation,55 11 5033-4226,4512,"Air Transportation, Scheduled",D5,Brazil,['GOLLQ']
SuperCom Ltd,0001291855,2004-06-07,HERTZLIYA,L3,Israel,1 ARIE SHENKAR STREET,,4672501,Non-accelerated filer,,000000000,other,['Nasdaq'],1231,,1,0,HERTZLIYA,L3,Israel,1 ARIE SHENKAR STREET,,4672501,04 Manufacturing,972-9-889-0800,3674,Semiconductors & Related Devices,L3,Israel,['SPCB']
Great Eastern Holdings Ltd,0001291313,2004-05-18,SINGAPORE,F4,China,1 PICKERING ST #16-01,GREAT EASTERN CENTRE,048659,,,000000000,other,['OTC'],,,0,0,SINGAPORE,F4,China,1 PICKERING ST #16-01,GREAT EASTERN CENTRE,048659,,,,,,,['GEHDF']
FIRST TRUST ENHANCED EQUITY INCOME FUND,0001291334,2004-05-28,WHEATON,IL,IL,C/O FIRST TRUST PORTFOLIOS L.P.,"120 EAST LIBERTY DRIVE, SUITE 400",60187,,,300261406,other,['NYSE'],1231,,1,0,WHEATON,IL,IL,C/O FIRST TRUST PORTFOLIOS L.P.,"120 EAST LIBERTY DRIVE, SUITE 400",60187,,630-765-8000,,,,,['FFA']
Village Bank & Trust Financial Corp.,0001290476,2004-05-17,MIDLOTHIAN,VA,VA,13319 MIDLOTHIAN TURNPIKE,,23113,Non-accelerated filer<br>Smaller reporting company,,161694602,operating,['Nasdaq'],1231,,1,0,MIDLOTHIAN,VA,VA,13319 MIDLOTHIAN TURNPIKE,,23113,02 Finance,804-897-3900,6022,State Commercial Banks,VA,VA,['VBFC']
"Commercial Vehicle Group, Inc.",0001290900,2004-05-21,NEW ALBANY,OH,OH,7800 WALTON PARKWAY,,43054,Accelerated filer,,411990662,operating,['Nasdaq'],1231,,1,0,NEW ALBANY,OH,OH,7800 WALTON PARKWAY,,43054,04 Manufacturing,614 289 5360,3714,Motor Vehicle Parts & Accessories,DE,DE,['CVGI']
"IIOT-OXYS, Inc.",0001290658,2004-05-21,CAMBRIDGE,MA,MA,705 CAMBRIDGE ST.,,02141,Non-accelerated filer<br>Smaller reporting company,,562415252,operating,['OTC'],1231,,1,1,CAMBRIDGE,MA,MA,705 CAMBRIDGE ST.,,02141,06 Technology,401-307-3092,7372,Services-Prepackaged Software,NV,NV,['ITOX']
"Turning Point Brands, Inc.",0001290677,2004-05-18,LOUISVILLE,KY,KY,5201 INTERCHANGE WAY,,40229,Accelerated filer,,133961898,operating,['NYSE'],1231,,1,1,LOUISVILLE,KY,KY,5201 INTERCHANGE WAY,,40229,04 Manufacturing,(502) 778-4421,2100,Tobacco Products,DE,DE,['TPB']
"Spok Holdings, Inc",0001289945,2004-05-21,PLANO,TX,TX,3000 TECHNOLOGY DRIVE,SUITE 400,75074,Accelerated filer,,161694797,operating,['Nasdaq'],1231,,1,0,PLANO,TX,TX,3000 TECHNOLOGY DRIVE,SUITE 400,75074,06 Technology,800-611-8488,4812,Radiotelephone Communications,DE,DE,['SPOK']
"LG Display Co., Ltd.",0001290109,2004-06-24,SEOUL,M5,"Korea, Republic of",LG TWIN TOWERS,"128 YEOUI-DAERO, YEONGDEUNGPO-GU",150-721,Large accelerated filer,,000000000,other,['NYSE'],1231,,0,0,SEOUL,M5,"Korea, Republic of",LG TWIN TOWERS,"128 YEOUI-DAERO, YEONGDEUNGPO-GU",150-721,04 Manufacturing,82-2-3777-1010,3679,"Electronic Components, NEC",M5,"Korea, Republic of",['LPL']
"Texas Roadhouse, Inc.",0001289460,2004-05-07,LOUISVILLE,KY,KY,6040 DUTCHMANS LANE,,40205,Large accelerated filer,,000000000,operating,['Nasdaq'],1231,,1,0,LOUISVILLE,KY,KY,6040 DUTCHMANS LANE,,40205,07 Trade & Services,5024269984,5812,Retail-Eating  Places,DE,DE,['TXRH']
Extra Space Storage Inc.,0001289490,2004-05-13,SALT LAKE CITY,UT,UT,"2795 COTTONWOOD PARKWAY, SUITE 400",,84121,Large accelerated filer,,201076777,operating,['NYSE'],1231,,1,1,SALT LAKE CITY,UT,UT,"2795 COTTONWOOD PARKWAY, SUITE 400",,84121,05 Real Estate & Construction,801-562-5556,6798,Real Estate Investment Trusts,MD,MD,['EXR']
Jardine Cycle & Carriage Ltd.,0001289688,2004-07-16,SINGAPORE,F4,China,239 ALEXANDRA ROAD,,06887,,,000000000,other,"['OTC', 'OTC']",,,0,0,SINGAPORE,F4,China,239 ALEXANDRA ROAD,,06887,International Corp Fin,UNKNOWN,8880,American Depositary Receipts,,,"['JCYGY', 'JCYCF']"
Huron Consulting Group Inc.,0001289848,2004-05-13,CHICAGO,IL,IL,550 WEST VAN BUREN STREET,,60607,Large accelerated filer,,010666114,operating,['Nasdaq'],1231,,1,0,CHICAGO,IL,IL,550 WEST VAN BUREN STREET,,60607,07 Trade & Services,(312) 583-8700,8742,Services-Management Consulting Services,DE,DE,['HURN']
"NeuroMetrix, Inc.",0001289850,2004-05-13,WALTHAM,MA,MA,1000 WINTER STREET,,02451,Non-accelerated filer<br>Smaller reporting company,,043308180,operating,['Nasdaq'],1231,,1,1,WALTHAM,MA,MA,1000 WINTER STREET,,02451,08 Industrial Applications and Services,(781) 890-9989,3841,Surgical & Medical Instruments & Apparatus,DE,DE,['NURO']
XAI Madison Equity Premium Income Fund,0001289868,2004-05-11,CHICAGO,IL,IL,321 NORTH CLARK STREET,SUITE 2430,60654,,,000000000,other,['NYSE'],1231,,1,0,CHICAGO,IL,IL,321 NORTH CLARK STREET,SUITE 2430,60654,,312-374-6937,,,DE,DE,['MCN']
SFL Corp Ltd.,0001289877,2004-05-21,"HAMILTON, HM 08",D0,Bermuda,14 PAR-LA-VILLE ROAD,,00000-0000,Large accelerated filer,,000000000,other,['NYSE'],,,0,0,"HAMILTON, HM 08",D0,Bermuda,14 PAR-LA-VILLE ROAD,,00000-0000,01 Energy & Transportation,441-295-9500,4412,Deep Sea Foreign Transportation of  Freight,,,['SFL']
EnerSys,0001289308,2004-05-17,READING,PA,PA,2366 BERNVILLE ROAD,,19605,Large accelerated filer,,233058564,operating,['NYSE'],0331,,1,0,READING,PA,PA,2366 BERNVILLE ROAD,,19605,04 Manufacturing,(610) 208-1600,3690,"Miscellaneous Electrical Machinery, Equipment & Supplies",DE,DE,['ENS']
Eaton Vance Floating-Rate Income Trust,0001288992,2004-04-30,BOSTON,MA,MA,ONE POST OFFICE SQUARE,,02109,,,000000000,other,['NYSE'],0531,,1,0,BOSTON,MA,MA,ONE POST OFFICE SQUARE,,02109,,617-482-8260,,,,,['EFT']
"Stereotaxis, Inc.",0001289340,2004-05-07,ST.LOUIS,MO,MO,710 N TUCKER BLVD,STE 110,63101,Non-accelerated filer<br>Smaller reporting company,,943120386,operating,['NYSE'],1231,,1,0,ST.LOUIS,MO,MO,710 N TUCKER BLVD,STE 110,63101,08 Industrial Applications and Services,314-678-6100,3845,Electromedical & Electrotherapeutic Apparatus,DE,DE,['STXS']
"Morningstar, Inc.",0001289419,2004-05-06,CHICAGO,IL,IL,22 WEST WASHINGTON STREET,,60602,Large accelerated filer,,363297908,operating,['Nasdaq'],1231,,1,0,CHICAGO,IL,IL,22 WEST WASHINGTON STREET,,60602,02 Finance,(312) 696-6000,6282,Investment Advice,IL,IL,['MORN']
XTRA-GOLD RESOURCES CORP,0001288770,2004-04-26,NASSAU,C5,Bahamas,"SHIRLEY STREET PLAZA, SUITE 2150",P.O BOX AP 59217,00000,Non-accelerated filer,,000000000,operating,['OTC'],1231,,0,0,NASSAU,C5,Bahamas,"SHIRLEY STREET PLAZA, SUITE 2150",P.O BOX AP 59217,00000,01 Energy & Transportation,(416) 628-2881,1000,Metal Mining,D8,"Virgin Islands, British",['XTGRF']
"MAXLINEAR, INC",0001288469,2004-04-22,CARLSBAD,CA,CA,5966 LA PLACE CT.,,92008,Large accelerated filer,,141896129,operating,['Nasdaq'],1231,,1,0,CARLSBAD,CA,CA,5966 LA PLACE CT.,,92008,04 Manufacturing,760-692-0711,3674,Semiconductors & Related Devices,,,['MXL']
"Five9, Inc.",0001288847,2004-04-27,SAN RAMON,CA,CA,3001 BISHOP DRIVE,SUITE 350,94583,Large accelerated filer,,943394123,operating,['Nasdaq'],1231,,1,1,SAN RAMON,CA,CA,3001 BISHOP DRIVE,SUITE 350,94583,06 Technology,9252012000,7374,Services-Computer Processing & Data Preparation,DE,DE,['FIVN']
"OptimumBank Holdings, Inc.",0001288855,2004-05-11,FORT LAUDERDALE,FL,FL,2477 EAST COMMERCIAL BOULEVARD,,33308,Non-accelerated filer<br>Smaller reporting company,,000000000,operating,['NYSE'],1231,,1,0,FORT LAUDERDALE,FL,FL,2477 EAST COMMERCIAL BOULEVARD,,33308,02 Finance,954 776-2332,6021,National Commercial Banks,FL,FL,['OPHC']
Clough Global Dividend & Income Fund,0001288795,2004-05-13,DENVER,CO,CO,1700 BROADWAY,SUITE 1850,80290,,,201048784,other,['NYSE'],0430,,1,1,DENVER,CO,CO,1700 BROADWAY,SUITE 1850,80290,,855-425-6844,,,DE,DE,['GLV']
W&T OFFSHORE INC,0001288403,2004-05-03,HOUSTON,TX,TX,5718 WESTHEIMER RD,SUITE 700,77057-5745,Accelerated filer,,721121985,operating,['NYSE'],1231,,1,0,HOUSTON,TX,TX,5718 WESTHEIMER RD,SUITE 700,77057-5745,01 Energy & Transportation,713-626-8525,1311,Crude Petroleum & Natural Gas,TX,TX,['WTI']
BLACKROCK FLOATING RATE INCOME TRUST,0001287480,2004-04-21,WILMINGTON,DE,DE,100 BELLEVUE PARKWAY,,19809-3700,,,000000000,other,['NYSE'],,,1,0,WILMINGTON,DE,DE,100 BELLEVUE PARKWAY,,19809-3700,,(800) 882-0052,,,,,['BGT']
Eaton Vance Short Duration Diversified Income Fund,0001287498,2004-04-19,BOSTON,MA,MA,ONE POST OFFICE SQUARE,,02109,,,000000000,other,['NYSE'],1031,,1,0,BOSTON,MA,MA,ONE POST OFFICE SQUARE,,02109,,617-482-8260,,,,,['EVG']
MEDICAL PROPERTIES TRUST INC,0001287865,2004-04-16,BIRMINGHAM,AL,AL,1000 URBAN CENTER DRIVE,SUITE 501,35242,Large accelerated filer,,000000000,operating,['NYSE'],1231,,1,0,BIRMINGHAM,AL,AL,1000 URBAN CENTER DRIVE,SUITE 501,35242,05 Real Estate & Construction,205-969-3755,6798,Real Estate Investment Trusts,,,['MPW']
ARES CAPITAL CORP,0001287750,2004-04-20,NEW YORK,NY,NY,"245 PARK AVENUE, 44TH FLOOR",,10167,Large accelerated filer,,331089684,operating,['Nasdaq'],1231,,1,1,NEW YORK,NY,NY,"245 PARK AVENUE, 44TH FLOOR",,10167,,2127507300,,,MD,MD,['ARCC']
"DOUGLAS DYNAMICS, INC",0001287213,2004-04-14,MILWAUKEE,WI,WI,11270 W. PARK PLACE SUITE 300,,53224,Accelerated filer,,134275891,operating,['NYSE'],1231,,1,0,MILWAUKEE,WI,WI,11270 W. PARK PLACE SUITE 300,,53224,06 Technology,414-362-3940,3531,Construction Machinery & Equip,DE,DE,['PLOW']
Americas Gold & Silver Corp,0001286973,2004-04-13,TORONTO,A6,"Ontario, Canada",145 KING ST. W.,SUITE 2870,M5H 1J8,<br>Emerging growth company,,000000000,other,['NYSE'],,,1,0,TORONTO,A6,"Ontario, Canada",145 KING ST. W.,SUITE 2870,M5H 1J8,01 Energy & Transportation,604-678-9639,1000,Metal Mining,Z4,Canada (Federal Level),['USAS']
PROSPECT CAPITAL CORP,0001287032,2004-04-16,NEW YORK,NY,NY,10 EAST 40TH STREET 44TH FL,,10016,Large accelerated filer,,432048643,operating,"['Nasdaq', 'NYSE']",0630,,1,0,NEW YORK,NY,NY,10 EAST 40TH STREET 44TH FL,,10016,,212-448-0702,,,MD,MD,"['PSEC', 'PSEC-PA']"
"MAXCYTE, INC.",0001287098,2004-04-14,ROCKVILLE,MD,MD,"9713 KEY WEST AVENUE,",SUITE 400,20850,Non-accelerated filer<br>Smaller reporting company<br>Emerging growth company,,522210438,operating,['Nasdaq'],1231,,1,0,ROCKVILLE,MD,MD,"9713 KEY WEST AVENUE,",SUITE 400,20850,08 Industrial Applications and Services,301-517-5556,8731,Services-Commercial Physical & Biological Research,DE,DE,['MXCT']
DOMINOS PIZZA INC,0001286681,2004-04-13,ANN ARBOR,MI,MI,30 FRANK LLOYD WRIGHT DRIVE,,48105,Large accelerated filer,,382511577,operating,['Nasdaq'],0102,,1,0,ANN ARBOR,MI,MI,30 FRANK LLOYD WRIGHT DRIVE,,48105,07 Trade & Services,(734) 930-3030,5140,Wholesale-Groceries & Related Products,DE,DE,['DPZ']
LINCOLN EDUCATIONAL SERVICES CORP,0001286613,2005-03-29,PARSIPPANY,NJ,NJ,14 SYLVAN WAY,SUITE A,07054,Accelerated filer<br>Smaller reporting company,,571150621,operating,['Nasdaq'],1231,,1,0,PARSIPPANY,NJ,NJ,14 SYLVAN WAY,SUITE A,07054,07 Trade & Services,973-736-9340,8200,Services-Educational Services,NJ,NJ,['LINC']
KITE REALTY GROUP TRUST,0001286043,2004-04-06,INDIANAPOLIS,IN,IN,30 S MERIDIAN STREET,SUITE 1100,46204,Large accelerated filer,,113715772,operating,['NYSE'],1231,,1,0,INDIANAPOLIS,IN,IN,30 S MERIDIAN STREET,SUITE 1100,46204,05 Real Estate & Construction,3175775600,6798,Real Estate Investment Trusts,MD,MD,['KRG']
STRATS SM TRUST FOR U S CELL CORP SEC SERIES 2004 6,0001286405,2004-04-07,CHARLOTTE,NC,NC,301 SOUTH COLLEGE ST,,28288,,,000000000,operating,['NYSE'],,,0,0,CHARTLOTTE,NC,NC,301 S. COLLEGE ST,,28288,Office of Structured Finance,7043716611,6189,Asset-Backed Securities,,,['GJH']
"LEGALZOOM.COM, INC.",0001286139,2004-04-02,MOUNTAIN VIEW,CA,CA,954 VILLA STREET,,94041,Large accelerated filer,,954752856,operating,['Nasdaq'],1231,,1,0,MOUNTAIN VIEW,CA,CA,954 VILLA STREET,,94041,06 Technology,323-962-8600,7374,Services-Computer Processing & Data Preparation,DE,DE,['LZ']
