"form","count","description","example_filing_url","example_primary_doc_url"
"20FR12B","199","Registration of a Class of Securities by a Foreign Private Issuer. Used by foreign private issuers to register a class of securities under the Exchange Act.","https://www.sec.gov/Archives/edgar/data/1865697/000121390024069336/0001213900-24-069336-index.html","https://www.sec.gov/ix?doc=/Archives/edgar/data/1865697/000121390024069336/ea0211461-20fr12b_neuro.htm"
"S-4MEF","196","Registration Statement for Emerging Growth Companies.  Filed by companies merging with or acquiring a US company.","https://www.sec.gov/Archives/edgar/data/1964333/000196433324000124/0001964333-24-000124-index.html","https://www.sec.gov/Archives/edgar/data/1964333/000196433324000124/s-4mef512024.htm"
"253G1","189","Filed by certain passive investors who own more than 5% of a company's voting stock. ","https://www.sec.gov/Archives/edgar/data/1160420/000168316824004436/0001683168-24-004436-index.html","https://www.sec.gov/Archives/edgar/data/1160420/000168316824004436/adia_253g1.htm"
"497K2","186","Prospectus Supplement (Rule 497(k)).  Provides supplemental information for variable insurance products.","https://www.sec.gov/Archives/edgar/data/898745/000089874508000144/0000898745-08-000144-index.html","https://www.sec.gov/Archives/edgar/data/898745/000089874508000144/pfinewprofiles09-2008.htm"
"NSAR-AT","184","Annual Report of Proxy Voting Record. Filed by certain investment companies to disclose how they voted proxies on behalf of their shareholders.","https://www.sec.gov/Archives/edgar/data/812090/000094040017000477/0000940400-17-000477-index.html","https://www.sec.gov/Archives/edgar/data/812090/000094040017000477/vTotalRetINC.fil"
"N-14AE/A","182","Amendment to Notice of Withdrawal. This indicates changes or corrections to a previously filed N-14AE, which is related to withdrawing an application or filing.","https://www.sec.gov/Archives/edgar/data/917124/000139834408000127/0001398344-08-000127-index.html","https://www.sec.gov/Archives/edgar/data/917124/000139834408000127/firsthand_n14aea2-0408.htm"
"N-8B-2","182","Notification of Election to Be Subject to Sections 55 through 65 of the Investment Company Act of 1940. This form is filed by certain investment companies choosing to be regulated under those sections.","https://www.sec.gov/Archives/edgar/data/1825052/000121465920007906/0001214659-20-007906-index.html","https://www.sec.gov/Archives/edgar/data/1825052/000121465920007906/st910200n8b2.htm"
"15F-15D","182","Six-Month Periodic Report.  Filed by foreign private issuers that have a class of securities registered under Section 12 of the Exchange Act","https://www.sec.gov/Archives/edgar/data/1548132/000110465924069983/0001104659-24-069983-index.html","https://www.sec.gov/Archives/edgar/data/1548132/000110465924069983/tm2416823d1_1512g.htm"
"40FR12B","181","Registration of a Class of Securities by a Foreign Private Issuer. Used by foreign private issuers to register securities under the Exchange Act.","https://www.sec.gov/Archives/edgar/data/1953575/000121390024060528/0001213900-24-060528-index.html","https://www.sec.gov/Archives/edgar/data/1953575/000121390024060528/ea020474801-40fr12b_collect.htm"
"40-8F-L/A","180","Amendment to Notice of Intent to Make a Public Offering of Securities by a Closed-End Management Investment Company.  This involves making changes to information in the initial notice.","https://www.sec.gov/Archives/edgar/data/24906/000095016204000943/0000950162-04-000943-index.html","https://www.sec.gov/Archives/edgar/data/24906/000095016204000943/formn8fderegcitf072004.txt"
"TACO","179","Tender offer Agreement Cover.   Filed in connection with tender offer agreements.","https://www.sec.gov/Archives/edgar/data/735382/999999999723000341/9999999997-23-000341-index.html","https://www.sec.gov/Archives/edgar/data/735382/999999999723000341/9999999997-23-000341.paper"
"NTFNSAR","178","Notification of Late Filing of Form N-SAR.  Filed when an investment company can't file N-SAR (Semi-Annual Report) on time.","https://www.sec.gov/Archives/edgar/data/812015/000141036817001651/0001410368-17-001651-index.html","https://www.sec.gov/Archives/edgar/data/812015/000141036817001651/form12b_25.txt"
"12G32BR","178","Certification of Foreign Private Issuer Filing 20-F.  Filed by foreign issuers to confirm compliance with requirements when filing their Form 20-F.","https://www.sec.gov/Archives/edgar/data/1305126/999999999708027729/9999999997-08-027729-index.html","https://www.sec.gov/Archives/edgar/data/1305126/999999999708027729/9999999997-08-027729.paper"
"NT N-MFP2","178","Notice of Late Filing of Form N-MFP2.   Filed by money market funds.","https://www.sec.gov/Archives/edgar/data/1039803/000100472624000045/0001004726-24-000045-index.html","https://www.sec.gov/Archives/edgar/data/1039803/000100472624000045/xslN-MFP2_X01/primary_doc.xml"
"N-VPFS/A","177","Amendment to a Notice of Eligibility for Sales of Securities by Closed-End Management Investment Companies.   Filed when updates or corrections to the initial notice are necessary.","https://www.sec.gov/Archives/edgar/data/1054819/000110465924067311/0001104659-24-067311-index.html","https://www.sec.gov/Archives/edgar/data/1054819/000110465924067311/tm2411168d3_nvpfs.htm"
"N-8B-2/A","176","Amendment to a previously filed N-8B-2. This indicates changes or updates to a company's decision to be regulated as a Business Development Company (BDC).","https://www.sec.gov/Archives/edgar/data/1169057/000183988224027444/0001839882-24-027444-index.html","https://www.sec.gov/Archives/edgar/data/1169057/000183988224027444/adt_n8b2a.htm"
"40-8F-M/A","172","Amendment to a notice filed by a registered open-end investment company.   Filed when changes to the initial notice need to be made.","https://www.sec.gov/Archives/edgar/data/718824/000100329704000338/0001003297-04-000338-index.html","https://www.sec.gov/Archives/edgar/data/718824/000100329704000338/n8f1.htm"
"N-6F","168","Registration Statement for Closed-End Management Investment Companies That Offer Variable Life Insurance Policies. This registration statement is specific to closed-end funds offering variable life insurance.","https://www.sec.gov/Archives/edgar/data/1982701/000119312524164530/0001193125-24-164530-index.html","https://www.sec.gov/Archives/edgar/data/1982701/000119312524164530/d823783dn6f.htm"
"OIP NTC","167","Order Instituting Proceedings Notice.   Typically the first document filed by the SEC when initiating an enforcement action.","https://www.sec.gov/Archives/edgar/data/1126087/999999999721003834/9999999997-21-003834-index.html","https://www.sec.gov/Archives/edgar/data/1126087/999999999721003834/filename1.pdf"
"OIP ORDR","163","Order Instituting Proceedings Order. This refers to an order issued by the SEC, often as part of an enforcement action or investigation.","https://www.sec.gov/Archives/edgar/data/1126087/999999999721003967/9999999997-21-003967-index.html","https://www.sec.gov/Archives/edgar/data/1126087/999999999721003967/filename1.pdf"
"40-17F2/A","157","Amendment to Notice of Intention to Register as a Credit Rating Agency. Used for correcting or updating information in a previously submitted notice.","https://www.sec.gov/Archives/edgar/data/856119/000085611923000003/0000856119-23-000003-index.html","https://www.sec.gov/Archives/edgar/data/856119/000085611923000003/fvit17f2-ape073120.htm"
"424H/A","153","Amendment to a prospectus.  This amendment is used to update information about a securities offering.","https://www.sec.gov/Archives/edgar/data/2023106/000153949724001184/0001539497-24-001184-index.html","https://www.sec.gov/Archives/edgar/data/850779/000153949724001184/n4265_x11-424ha.htm"
"SB-1","150","Registration Statement under the Securities Act of 1933.  Used by smaller companies known as ""small business issuers.""","https://www.sec.gov/Archives/edgar/data/1409624/000094935307000706/0000949353-07-000706-index.html","https://www.sec.gov/Archives/edgar/data/1409624/000094935307000706/sb1-reg_homeland.htm"
"APP WDG","149","Application Withdrawn. Indicates that a previously submitted application or request to the SEC has been withdrawn.","https://www.sec.gov/Archives/edgar/data/1497778/999999999724003644/9999999997-24-003644-index.html","https://www.sec.gov/Archives/edgar/data/1497778/999999999724003644/filename1.pdf"
"N14EL24","146","Notice of Effectiveness for Registration Statement on Form N-14. This notice signals when a registration statement for an exchange offer becomes effective.","https://www.sec.gov/Archives/edgar/data/225635/000090514897001405/0000905148-97-001405-index.html","https://www.sec.gov/Archives/edgar/data/225635/"
"N-4 EL","144","Notice of Eligibility for Sales of Securities by Registered Investment Companies.   This form is used by investment companies.","https://www.sec.gov/Archives/edgar/data/1045032/000095012497005063/0000950124-97-005063-index.html","https://www.sec.gov/Archives/edgar/data/1045032/"
"N-1/A","142","Amendment to a registration statement filed on Form N-1.  Used for registered open-end management investment companies.","https://www.sec.gov/Archives/edgar/data/1341289/000119312505245840/0001193125-05-245840-index.html","https://www.sec.gov/Archives/edgar/data/1341289/000119312505245840/dn1a.htm"
"U-3A-2/A","141","Amendment to an annual report filed by a trust indenture trustee.  Trust indentures are legal agreements associated with debt securities.","https://www.sec.gov/Archives/edgar/data/1089819/000095012905006628/0000950129-05-006628-index.html","https://www.sec.gov/Archives/edgar/data/1089819/000095012905006628/h26611uv3av2za.htm"
"1-E","138","Notification of Termination of Reporting Obligation Pursuant to Rule 12g3-2(b)(1)(iii).  Filed by foreign private issuers terminating reporting obligations under certain conditions.","https://www.sec.gov/Archives/edgar/data/1846702/000143774923035190/0001437749-23-035190-index.html","https://www.sec.gov/Archives/edgar/data/1846702/000143774923035190/figp20231222_1e.htm"
"N-4 EL/A","138","Amendment to Notice of Eligibility for Sales of Securities by Registered Investment Companies. Filed to make changes or updates to a previously submitted notice.","https://www.sec.gov/Archives/edgar/data/1029446/000092838997000217/0000928389-97-000217-index.html","https://www.sec.gov/Archives/edgar/data/1029446/"
"10-KT/A","137","Amendment to a transition report.  Companies transitioning to a different reporting regime will file this.","https://www.sec.gov/Archives/edgar/data/1883835/000152013824000290/0001520138-24-000290-index.html","https://www.sec.gov/ix?doc=/Archives/edgar/data/1883835/000152013824000290/esgh-20240813_10ka.htm"
"8A12BT","136","Notification of Termination of Registration Under Section 12(b) of the Securities Exchange Act of 1934.  Filed by companies that are terminating their registration under Section 12(b) of the Exchange Act, often due to delisting or going private.","https://www.sec.gov/Archives/edgar/data/1024176/000095017297000721/0000950172-97-000721-index.html","https://www.sec.gov/Archives/edgar/data/1024176/"
"ANNLRPT","135","Annual Report. This is a general term for annual reports filed by various entities with the SEC, covering their financial and operational performance.","https://www.sec.gov/Archives/edgar/data/51120/000162828024035527/0001628280-24-035527-index.html","https://www.sec.gov/Archives/edgar/data/51120/000162828024035527/ibrdfsmdafy24-q4.htm"
"424I","133","Prospectus. This is a broad category for prospectuses, which are documents providing information about securities offerings to potential investors.","https://www.sec.gov/Archives/edgar/data/1992870/000168035924000160/0001680359-24-000160-index.html","https://www.sec.gov/Archives/edgar/data/1992870/000168035924000160/ftdht424i062024.htm"
"CFPORTAL","132","Cover Page.  Used for submitting cover pages for various filings.","https://www.sec.gov/Archives/edgar/data/1886148/000188614824000006/0001886148-24-000006-index.html","https://www.sec.gov/Archives/edgar/data/1886148/000188614824000006/xslCFPORTAL_X01/primary_doc.xml"
"F-9","125","Registration Statement for Certain Investment Grade Debt Securities.   Filed for registering offerings of investment-grade debt securities by Canadian issuers.","https://www.sec.gov/Archives/edgar/data/1045520/000119312512302010/0001193125-12-302010-index.html","https://www.sec.gov/Archives/edgar/data/1045520/000119312512302010/d359344df9.htm"
"10SB12B/A","124","Amendment to a registration statement. Filed by smaller companies to update or correct information in a previously filed Form 10-SB12B, related to registering securities under the Exchange Act.","https://www.sec.gov/Archives/edgar/data/1354030/000089109207004186/0000891092-07-004186-index.html","https://www.sec.gov/Archives/edgar/data/1354030/000089109207004186/e28673_10sb12b.txt"
"40-8F-A","123","Application for an Order under the Investment Company Act of 1940.   Filed by investment companies seeking approval or exemptions.","https://www.sec.gov/Archives/edgar/data/1293487/000089109204004156/0000891092-04-004156-index.html","https://www.sec.gov/Archives/edgar/data/1293487/000089109204004156/e18896_408fa.txt"
"PRES14C","121","Preliminary Information Statement (Regulation 14C). A preliminary version of the information statement filed with the SEC for review before sending the final version to shareholders.","https://www.sec.gov/Archives/edgar/data/898745/000087078602000071/0000870786-02-000071-index.html","https://www.sec.gov/Archives/edgar/data/898745/000087078602000071/schedule14cinfo.txt"
"40-8B25","120","Application for Order Pursuant to Section 8(b)(25) of the Investment Company Act of 1940.  Filed by investment companies seeking an order from the SEC.","https://www.sec.gov/Archives/edgar/data/1217286/000119312524183883/0001193125-24-183883-index.html","https://www.sec.gov/Archives/edgar/data/1217286/000119312524183883/d864691d408b25.htm"
"10SB12B","119","General Form for Registration of Securities Pursuant to Section 12(b) or (g) of the Securities Exchange Act of 1934.   Used by smaller companies.","https://www.sec.gov/Archives/edgar/data/1419559/000101629508000003/0001016295-08-000003-index.html","https://www.sec.gov/Archives/edgar/data/1419559/000101629508000003/frm10sb-1jan08.htm"
"13F-E/A","118","Amendment to Report of Transferred Securities.  Filed to update a previously filed 13F-E, which is used to report the transfer of securities by institutional investment managers.","https://www.sec.gov/Archives/edgar/data/820027/000082002799000224/0000820027-99-000224-index.html","https://www.sec.gov/Archives/edgar/data/820027/"
"N-MFP3/A","118","Amendment to Monthly Schedule of Portfolio Holdings of Money Market Funds.","https://www.sec.gov/Archives/edgar/data/857156/000114554924056633/0001145549-24-056633-index.html","https://www.sec.gov/Archives/edgar/data/857156/000114554924056633/xslN-MFP3_X01/primary_doc.xml"
"486BXT","116","Post-effective amendment for business development companies. This amendment relates to a company that has elected to be regulated as a Business Development Company (BDC).","https://www.sec.gov/Archives/edgar/data/1897540/000158064224004555/0001580642-24-004555-index.html","https://www.sec.gov/Archives/edgar/data/1897540/000158064224004555/aocinstitfund_486bxt.htm"
"PX14A6N","116","Notice of Exempt Solicitation.  Filed when certain solicitations of shareholder votes are exempt from full proxy statement requirements.","https://www.sec.gov/Archives/edgar/data/63908/000137773923000050/0001377739-23-000050-index.html","https://www.sec.gov/Archives/edgar/data/63908/000137773923000050/mcdshletter.htm"
"AW WD","115","Additional Withdrawal (Withdrawn).   Indicates that a previously submitted request for additional withdrawal has been withdrawn.","https://www.sec.gov/Archives/edgar/data/878092/000087809223000016/0000878092-23-000016-index.html","https://www.sec.gov/Archives/edgar/data/878092/000087809223000016/awwdltr.htm"
"8-K12G3/A","115","Amendment to a current report.   This involves correcting or updating information in a previous 8-K12G3 filing, which is related to events concerning a company's registration under Section 12(g) of the Exchange Act.","https://www.sec.gov/Archives/edgar/data/1400891/000119312519139876/0001193125-19-139876-index.html","https://www.sec.gov/Archives/edgar/data/1400891/000119312519139876/d741536d8k12g3a.htm"
"SF-1/A","113","Amendment to a registration statement or report, typically filed by foreign private issuers. This amendment likely relates to specialized financial information required by the SEC.","https://www.sec.gov/Archives/edgar/data/75488/000119312524175494/0001193125-24-175494-index.html","https://www.sec.gov/Archives/edgar/data/75488/000119312524175494/d809705dsf1a.htm"
"NT-NSAR/A","112","Amendment to a notice of late filing.  Filed by investment companies to update or correct information in a previously submitted notice regarding their Form N-SAR (semi-annual report).","https://www.sec.gov/Archives/edgar/data/1414039/000158064218000088/0001580642-18-000088-index.html","https://www.sec.gov/Archives/edgar/data/1414039/000158064218000088/ntnsarrevised.txt"
"DEF13E3/A","112","Amendment to a definitive Schedule 13E-3. This amendment relates to going-private transactions, where a company is taken private from public markets.","https://www.sec.gov/Archives/edgar/data/879022/000095012400003988/0000950124-00-003988-index.html","https://www.sec.gov/Archives/edgar/data/879022/000095012400003988/def13e3a.txt"
"15-12B/A","111","Amendment to Certification by Registrant When No Securities Are Outstanding or When There Has Been a Termination Under Section 13(a) or 15(d).  Used to update or correct the initial certification.","https://www.sec.gov/Archives/edgar/data/103872/000110465922058193/0001104659-22-058193-index.html","https://www.sec.gov/Archives/edgar/data/103872/000110465922058193/tm2211751d7_1512ba.htm"
"F-9/A","110","Amendment to a registration statement filed by certain Canadian issuers. Used for updating or correcting information in a previously filed Form F-9, which is related to investment-grade debt securities.","https://www.sec.gov/Archives/edgar/data/311337/000104746912006354/0001047469-12-006354-index.html","https://www.sec.gov/Archives/edgar/data/311337/000104746912006354/a2209731zf-9a.htm"
"40FR12B/A","105","Amendment to Registration of a Class of Securities by a Foreign Private Issuer.  This is for making changes to a previously filed 40FR12B.","https://www.sec.gov/Archives/edgar/data/1953575/000121390024060533/0001213900-24-060533-index.html","https://www.sec.gov/Archives/edgar/data/1953575/000121390024060533/ea020474802-40fr12ba1_collec.htm"
"SB-2MEF","104","Registration Statement.   Filed by small business issuers (SBIs) that are also considered emerging growth companies (EGCs).","https://www.sec.gov/Archives/edgar/data/1310982/000106299307004794/0001062993-07-004794-index.html","https://www.sec.gov/Archives/edgar/data/1310982/000106299307004794/formsb2mef.htm"
"1-K/A","101","Amendment to an annual report for employee stock purchase plans.  This form is filed to correct or update previously submitted information.","https://www.sec.gov/Archives/edgar/data/1832987/000183298724000005/0001832987-24-000005-index.html","https://www.sec.gov/Archives/edgar/data/1832987/000183298724000005/xsl1-K_X01/primary_doc.xml"
"DEF13E3","99","Definitive Schedule 13E-3 - Going Private Transaction Statement. This form is the final version of Schedule 13E-3, providing details about a company's plan to go private.","https://www.sec.gov/Archives/edgar/data/727621/000091205700044313/0000912057-00-044313-index.html","https://www.sec.gov/Archives/edgar/data/727621/000091205700044313/a2027434zdef13e3.txt"
"40-24B2/A","98","Amendment to a Notice of Election to Compute Rule 24f-2 Fee on an Actual Basis.  Filed by certain investment companies.","https://www.sec.gov/Archives/edgar/data/746601/000087788019000002/0000877880-19-000002-index.html","https://www.sec.gov/Archives/edgar/data/746601/000087788019000002/InvPresDivGUSGMunis03052019a.pdf"
"8A12BEF","97","Notification of Effectiveness for a registration statement. This indicates when a registration statement, typically for securities offerings, becomes effective with the SEC.","https://www.sec.gov/Archives/edgar/data/1041479/000095014797000556/0000950147-97-000556-index.html","https://www.sec.gov/Archives/edgar/data/1041479/"
"35-CERT/A","95","Amendment to a Certification.  Used to make changes to a previously submitted certification.","https://www.sec.gov/Archives/edgar/data/7323/000006598406000081/0000065984-06-000081-index.html","https://www.sec.gov/Archives/edgar/data/7323/000006598406000081/a01906.htm"
"11-KT","93","Transition Report for Employee Stock Purchase, Savings and Similar Plans.  Filed by companies transitioning to a new reporting regime for their employee benefit plans.","https://www.sec.gov/Archives/edgar/data/1606757/000160675724000018/0001606757-24-000018-index.html","https://www.sec.gov/Archives/edgar/data/1606757/000160675724000018/ke12312023form11-kt.htm"
"BW-3","93","Request for Withdrawal. Filed by issuers to request the withdrawal of a previously submitted filing, such as a registration statement or an application.","https://www.sec.gov/Archives/edgar/data/51120/000104746902006328/0001047469-02-006328-index.html","https://www.sec.gov/Archives/edgar/data/51120/000104746902006328/a2095898zbw-3.txt"
"S-11MEF","92","Registration Statement for Certain Real Estate Companies.  Filed by emerging growth companies (EGCs) engaged in real estate activities.","https://www.sec.gov/Archives/edgar/data/1868159/000119312524184003/0001193125-24-184003-index.html","https://www.sec.gov/Archives/edgar/data/1868159/000119312524184003/d875104ds11mef.htm"
"13FCONP/A","89","Amendment to a confidential treatment request. Filed by institutional investment managers seeking confidential treatment for certain information in their Form 13F filings.","https://www.sec.gov/Archives/edgar/data/886982/999999999705004075/9999999997-05-004075-index.html","https://www.sec.gov/Archives/edgar/data/886982/999999999705004075/9999999997-05-004075.paper"
"NT-NCEN","89","Notice of Late Filing for Form N-CEN. This indicates that an investment company is unable to file its Form N-CEN (notification of ceasing registration) on time.","https://www.sec.gov/Archives/edgar/data/1310192/000139834424011744/0001398344-24-011744-index.html","https://www.sec.gov/Archives/edgar/data/1310192/000139834424011744/fp0088738-1_ntncen.htm"
"NRSRO-CE","89","Certification of a Credit Rating Agency.   Filed to certify compliance with applicable regulations.","https://www.sec.gov/Archives/edgar/data/1652282/000110465924040878/0001104659-24-040878-index.html","https://www.sec.gov/Archives/edgar/data/1652282/000110465924040878/tm249924d1_nrsro-ce.pdf"
"F-10POS","88","Post-Effective Amendment to a Registration Statement on Form F-10. This amendment relates to offerings by certain Canadian issuers in the United States.","https://www.sec.gov/Archives/edgar/data/1126874/000119312524159588/0001193125-24-159588-index.html","https://www.sec.gov/Archives/edgar/data/1126874/000119312524159588/d852013df10pos.htm"
"DEFS14C","86","Definitive Supplemental Information Statement. Similar to a proxy statement but for matters where shareholder approval is not required.","https://www.sec.gov/Archives/edgar/data/934395/000093439502000014/0000934395-02-000014-index.html","https://www.sec.gov/Archives/edgar/data/934395/000093439502000014/careerworthdefs14c.txt"
"SC14D1F","86","Tender Offer Statement. This statement is filed by a person or group making a tender offer for the securities of a company, often a hostile takeover attempt.","https://www.sec.gov/Archives/edgar/data/1336762/000114036120020099/0001140361-20-020099-index.html","https://www.sec.gov/Archives/edgar/data/1336762/000114036120020099/nt10015002x1_sc14d1f.htm"
"10KT405","86","Annual Report for Companies Subject to Regulation A.   Filed by companies that have conducted a Regulation A offering.","https://www.sec.gov/Archives/edgar/data/1095315/000095013402003217/0000950134-02-003217-index.html","https://www.sec.gov/Archives/edgar/data/1095315/000095013402003217/d95477e10kt405.txt"
"2-E","86","Registration Statement for Unit Investment Trusts.   Filed for registering Unit Investment Trusts (UITs).","https://www.sec.gov/Archives/edgar/data/1649971/000089710117001507/0000897101-17-001507-index.html","https://www.sec.gov/Archives/edgar/data/1649971/000089710117001507/hcc173106_2e.htm"
"NT NPORT-E","85","Notice of Late Filing of Form NPORT-E. This notice is for investment companies that are unable to file their Form NPORT-E, which is a non-public report on their holdings and transactions, on time.","https://www.sec.gov/Archives/edgar/data/1111565/000177569720001006/0001775697-20-001006-index.html","https://www.sec.gov/Archives/edgar/data/1111565/000177569720001006/c10238bnymelloninco-may20191.htm"
"MSDW","","Material Definitive Agreement Withdrawal.   Filed to indicate that a previously announced material agreement is no longer in effect.","https://www.sec.gov/Archives/edgar/data/797575/999999999724002691/9999999997-24-002691-index.html","https://www.sec.gov/Archives/edgar/data/797575/999999999724002691/9999999997-24-002691.paper"
"497H2","83","Prospectus for a Variable Insurance Product - Separate Account.  Provides key information to investors about variable insurance products offered through separate accounts, typically associated with variable annuities.","https://www.sec.gov/Archives/edgar/data/1627854/000120677417003006/0001206774-17-003006-index.html","https://www.sec.gov/Archives/edgar/data/1627854/000120677417003006/alcentra3319181-497h2.htm"
"ATS-N/CA","82","Alternative Trading System (ATS) Notification and Conditional Access Application. Filed by entities seeking to operate an ATS with conditional access to the market.","https://www.sec.gov/Archives/edgar/data/1368727/000110465924082905/0001104659-24-082905-index.html","https://www.sec.gov/Archives/edgar/data/1368727/000110465924082905/xslATS-N_X01/primary_doc.xml"
"8-B12B","","Registration of Securities of a Successor Issuer Pursuant to Section 12(b) of the Exchange Act.  Filed when a successor issuer assumes the registration of securities previously registered under Section 12(b) of the Exchange Act, often after a merger or acquisition.","https://www.sec.gov/Archives/edgar/data/48732/000089924397001682/0000899243-97-001682-index.html","https://www.sec.gov/Archives/edgar/data/48732/"
"S-2MEF","80","Registration statement for certain US companies.  Filed by emerging growth companies (EGCs) to register their securities for public offerings.","https://www.sec.gov/Archives/edgar/data/891417/000116796605001485/0001167966-05-001485-index.html","https://www.sec.gov/Archives/edgar/data/891417/000116796605001485/t8064_s2mef.htm"
"2-A/A","80","Amendment to a registration statement for unit investment trusts. This amendment pertains to Form 2-A filings, which are used for registering UITs.","https://www.sec.gov/Archives/edgar/data/860676/999999999715009252/9999999997-15-009252-index.html","https://www.sec.gov/Archives/edgar/data/860676/999999999715009252/9999999997-15-009252.paper"
"POS462C","80","Post-Effective Amendment to Registration Statement Filed on Form S-3 or F-3. This type of amendment relates to offerings registered using Form S-3 or F-3, which are simplified registration forms for certain eligible issuers.","https://www.sec.gov/Archives/edgar/data/1682149/000110465923109202/0001104659-23-109202-index.html","https://www.sec.gov/Archives/edgar/data/1682149/000110465923109202/tm2327138d5_pos462c.htm"
"PREC14C","80","Preliminary Information Statement (Regulation 14C). An early version of the information statement, similar to a proxy statement, but used when a shareholder vote is not required.","https://www.sec.gov/Archives/edgar/data/1844971/000162828023011479/0001628280-23-011479-index.html","https://www.sec.gov/Archives/edgar/data/1844971/000162828023011479/greenidge-pre14c.htm"
"485A24E","79","Post-Effective Amendment to a Registration Statement on Form N-1A Relating to Certain Unit Investment Trusts. This amendment relates to unit investment trusts that are registered on Form N-1A, which is the primary form for registering mutual funds and other investment companies.","https://www.sec.gov/Archives/edgar/data/896647/000095015297006939/0000950152-97-006939-index.html","https://www.sec.gov/Archives/edgar/data/896647/"
"8-K15D5","77","Report of Termination of Registration under Section 12(g) of the Securities Exchange Act of 1934. Filed by a company when it terminates its registration under Section 12(g), which often occurs after a company goes private or its securities are no longer publicly traded.","https://www.sec.gov/Archives/edgar/data/1816901/000094787121000402/0000947871-21-000402-index.html","https://www.sec.gov/Archives/edgar/data/1816901/000094787121000402/ss195580_8k15d5.htm"
"ADV-H-T","76","Temporary Hardship Exemption Application. This application is for investment advisers seeking a temporary exemption from certain regulatory requirements due to a hardship situation.","https://www.sec.gov/Archives/edgar/data/1975536/999999999723002177/9999999997-23-002177-index.html","https://www.sec.gov/Archives/edgar/data/1975536/999999999723002177/9999999997-23-002177.paper"
"N14EL24/A","76","Amendment to Notice of Effectiveness for Registration Statement on Form N-14.   Filed to update or correct information.","https://www.sec.gov/Archives/edgar/data/775370/000009115597000443/0000091155-97-000443-index.html","https://www.sec.gov/Archives/edgar/data/775370/"
"CERTBATS","75","Certification.   Likely confirms the accuracy of information, specifically related to the BATS Exchange.","https://www.sec.gov/Archives/edgar/data/1506213/999999999719007450/9999999997-19-007450-index.html","https://www.sec.gov/Archives/edgar/data/1506213/999999999719007450/9999999997-19-007450.paper"
"S-4EF","74","Post-Effective Amendment to Registration Statement on Form S-4 Filed Solely to Add Exhibits to a Post-Effective Amendment Previously Filed.  Used to add exhibits to a registration statement.","https://www.sec.gov/Archives/edgar/data/1913971/000119312522066198/0001193125-22-066198-index.html","https://www.sec.gov/Archives/edgar/data/1913971/000119312522066198/d298493ds4ef.htm"
"CERTCBO","74","Certification.  Asserts that the information provided is accurate.","https://www.sec.gov/Archives/edgar/data/1667919/999999999720004946/9999999997-20-004946-index.html","https://www.sec.gov/Archives/edgar/data/1667919/999999999720004946/9999999997-20-004946.paper"
"ARS/A","73","Amendment to Annual Report for Employee Benefit Plans. Used to make corrections or updates to a previously filed ARS, which provides information about employee benefit plans.","https://www.sec.gov/Archives/edgar/data/1828673/000095017024062457/0000950170-24-062457-index.html","https://www.sec.gov/Archives/edgar/data/1828673/000095017024062457/ars_20240512_amended_v2.pdf"
"N-CR","72","Registration Statement for Closed-End Management Investment Companies.   Filed for closed-end funds.","https://www.sec.gov/Archives/edgar/data/703642/000008805322000869/0000088053-22-000869-index.html","https://www.sec.gov/Archives/edgar/data/703642/000008805322000869/ncr_082922mmt-gcmf.htm"
"1-SA/A","72","Amendment to Simplified Short Form Annual Statement for Reporting Companies.   ","https://www.sec.gov/Archives/edgar/data/1660918/000110465924056557/0001104659-24-056557-index.html","https://www.sec.gov/Archives/edgar/data/1660918/000110465924056557/tm2413352d1_1saa.htm"
"1-E/A","72","Amendment to Notification of Termination of Reporting Obligation. Used by foreign private issuers to update or correct information from a previous 1-E filing.","https://www.sec.gov/Archives/edgar/data/1649971/000089710117000284/0000897101-17-000284-index.html","https://www.sec.gov/Archives/edgar/data/1649971/000089710117000284/hcc170567_1ea.htm"
"NTFNCSR","71","Notification of Late Filing of Form N-CSR.  Filed when investment companies are unable to file their Form N-CSR (certified shareholder report) by the deadline.","https://www.sec.gov/Archives/edgar/data/1319067/000199937124008898/0001999371-24-008898-index.html","https://www.sec.gov/Archives/edgar/data/1319067/000199937124008898/q360funds_ntncsr-072224.htm"
"N-2ASR","70","Automatic shelf registration statement.  Filed by closed-end management investment companies.","https://www.sec.gov/Archives/edgar/data/1260729/000199937124010306/0001999371-24-010306-index.html","https://www.sec.gov/ix?doc=/Archives/edgar/data/1260729/000199937124010306/gdv-n2asr_081924.htm"
"N-6F/A","69","Amendment to a registration statement for closed-end funds offering variable life insurance.   ","https://www.sec.gov/Archives/edgar/data/2025369/000110465924082555/0001104659-24-082555-index.html","https://www.sec.gov/Archives/edgar/data/2025369/000110465924082555/tm2420022d2_n6fa.htm"
"305B2/A","68","Amendment to Report of Beneficial Ownership. Filed when changes or corrections need to be made to information reported in a previously filed 305B2.","https://www.sec.gov/Archives/edgar/data/1061219/000119312521266264/0001193125-21-266264-index.html","https://www.sec.gov/Archives/edgar/data/1061219/000119312521266264/d226895d305b2a.htm"
"F-3D","68","Automatic Shelf Registration Statement of Securities of Well-Known Seasoned Issuers Offered Pursuant to Dividend Reinvestment Plans.   Filed for dividend reinvestment plans (DRIPs).","https://www.sec.gov/Archives/edgar/data/2809/000110465924071293/0001104659-24-071293-index.html","https://www.sec.gov/Archives/edgar/data/2809/000110465924071293/tm2417082d1_f3d.htm"
